,Years,Months,Districts,Amounts_(m3)
457,2019,10,Bagcilar,8339410.368
458,2019,11,Bagcilar,12479451.023
459,2019,12,Bagcilar,31434305.414
460,2020,1,Bagcilar,44055091.355
461,2020,2,Bagcilar,36244025.182
462,2020,3,Bagcilar,31088778.568
463,2020,4,Bagcilar,19326774.69
464,2020,5,Bagcilar,8437756.45
465,2020,6,Bagcilar,7383878.866
466,2020,7,Bagcilar,6618685.862
467,2020,8,Bagcilar,6155798.393
468,2020,9,Bagcilar,6834679.868
469,2020,10,Bagcilar,8097765.466
470,2020,11,Bagcilar,23222548.696
471,2020,12,Bagcilar,31877958.365
472,2021,1,Bagcilar,36624187.761
473,2021,2,Bagcilar,35113705.851
474,2021,3,Bagcilar,40203717.072
475,2021,4,Bagcilar,25839357.718
476,2021,5,Bagcilar,8933519.224
477,2021,6,Bagcilar,7917773.358
478,2021,7,Bagcilar,5804600.26
479,2021,8,Bagcilar,6210870.584
480,2021,9,Bagcilar,7188993.532
481,2021,10,Bagcilar,12745116.666
482,2021,11,Bagcilar,22102399.949
483,2021,12,Bagcilar,36372585.535
484,2022,1,Bagcilar,46150829.74
485,2022,2,Bagcilar,38753427.52
486,2022,3,Bagcilar,46859572.559
487,2022,4,Bagcilar,19035042.008
488,2022,5,Bagcilar,11199756.13
489,2022,6,Bagcilar,7578101.661
490,2022,7,Bagcilar,5922390.501
491,2022,8,Bagcilar,6832967.098
492,2022,9,Bagcilar,7560763.675
493,2022,10,Bagcilar,10317929.834
494,2022,11,Bagcilar,16793061.382
495,2022,12,Bagcilar,29955304.024
496,2023,1,Bagcilar,34275794.569
497,2023,2,Bagcilar,39121505.198
498,2023,3,Bagcilar,32597217.077
499,2023,4,Bagcilar,19910850.195
500,2015,1,Bahcelievler,39177721.195
501,2015,2,Bahcelievler,33919141.916
502,2015,3,Bahcelievler,32136821.611
503,2015,4,Bahcelievler,20374962.454
504,2015,5,Bahcelievler,8002269.887
505,2015,6,Bahcelievler,6499298.33
506,2015,7,Bahcelievler,5435348.859
507,2015,8,Bahcelievler,5237368.194
508,2015,9,Bahcelievler,5835273.726
509,2015,10,Bahcelievler,9922287.058
510,2015,11,Bahcelievler,16199579.312
511,2015,12,Bahcelievler,32344543.704
512,2016,1,Bahcelievler,40543298.262
513,2016,2,Bahcelievler,27994690.385
514,2016,3,Bahcelievler,25690181.926
515,2016,4,Bahcelievler,10815540.512
516,2016,5,Bahcelievler,8641257.149
517,2016,6,Bahcelievler,6326989.741
518,2016,7,Bahcelievler,4701567.222
519,2016,8,Bahcelievler,5143092.754
520,2016,9,Bahcelievler,5395888.226
521,2016,10,Bahcelievler,10478063.676
522,2016,11,Bahcelievler,22979774.403
523,2016,12,Bahcelievler,41251092.083
524,2017,1,Bahcelievler,48302244.213
525,2017,2,Bahcelievler,36754279.226
526,2017,3,Bahcelievler,29520091.365
527,2017,4,Bahcelievler,18728131.766
528,2017,5,Bahcelievler,8576889.691
529,2017,6,Bahcelievler,5648814.492
530,2017,7,Bahcelievler,5251272.393
531,2017,8,Bahcelievler,5044124.234
532,2017,9,Bahcelievler,5367731.348
533,2017,10,Bahcelievler,9905769.34
534,2017,11,Bahcelievler,21277256.611
535,2017,12,Bahcelievler,26229857.454
536,2018,1,Bahcelievler,40455849.902
537,2018,2,Bahcelievler,32362782.969
538,2018,3,Bahcelievler,30301214.887
539,2018,4,Bahcelievler,13996564.88
540,2018,5,Bahcelievler,7982141.119
541,2018,6,Bahcelievler,5407653.998
542,2018,7,Bahcelievler,5218301.628
543,2018,8,Bahcelievler,4359386.015
544,2018,9,Bahcelievler,5696460.758
545,2018,10,Bahcelievler,8438168.171
546,2018,11,Bahcelievler,20190515.943
547,2018,12,Bahcelievler,39015667.162
548,2019,1,Bahcelievler,42566790.691
549,2019,2,Bahcelievler,34319424.78
550,2019,3,Bahcelievler,29428327.071
551,2019,4,Bahcelievler,20261291.06
552,2019,5,Bahcelievler,8375360.974
553,2019,6,Bahcelievler,5045770.543
554,2019,7,Bahcelievler,5469726.873
555,2019,8,Bahcelievler,4694241.049
556,2019,9,Bahcelievler,5806652.167
557,2019,10,Bahcelievler,7445056.831
558,2019,11,Bahcelievler,11281334.31
559,2019,12,Bahcelievler,29159332.024
560,2020,1,Bahcelievler,40864137.235
561,2020,2,Bahcelievler,33614840.292
562,2020,3,Bahcelievler,28100961.459
563,2020,4,Bahcelievler,17635815.801
564,2020,5,Bahcelievler,7558502.659
565,2020,6,Bahcelievler,6149746.482
566,2020,7,Bahcelievler,5071198.189
567,2020,8,Bahcelievler,4964534.148
568,2020,9,Bahcelievler,5591056.574
569,2020,10,Bahcelievler,6799946.173
570,2020,11,Bahcelievler,20289623.511
571,2020,12,Bahcelievler,28009620.93
572,2021,1,Bahcelievler,32642656.036
573,2021,2,Bahcelievler,31219282.278
574,2021,3,Bahcelievler,35647634.671
575,2021,4,Bahcelievler,22540027.382
